timestamp,x1,y1,x2,y2,cx,cy,z_mm,label,image_width,robot_x,robot_y,robot_yaw_deg,orig_x1_global,orig_y1_global,orig_x2_global,orig_y2_global,ext_x1_global,ext_y1_global,ext_x2_global,ext_y2_global
1750161011.68592,71,1,414,301,242,151,836,glass,416,-55.3067242090458,-90.28390911813722,-49.012425798111266,-55.03107531694218,-91.0731579307952,-54.50444885742473,-90.51896285705936,-55.027374618238724,-91.39306183565297,-54.18477228301079,-90.50634971767566
1750161011.812534,43,0,412,306,227,153,808,glass,416,-55.3067242090458,-90.28390911813722,-49.012425798111266,-55.10019192793464,-91.06506749955486,-54.532589351785674,-90.51538097987174,-55.12337263002363,-91.38186799193262,-54.215208508185306,-90.50236956043962
1750161011.9384713,0,0,187,285,93,142,936,glass,416,-55.3067242090458,-90.28390911813722,-49.012425798111266,-55.17665920545076,-91.21082825961604,-54.73490582172006,-91.02493525257256,-55.20390271193185,-91.51678795311622,-54.49709729796273,-91.21935914184664
1750161012.0604432,0,0,168,286,84,143,924,glass,416,-55.3067242090458,-90.28390911813722,-49.012425798111266,-55.17832670549685,-91.19894468087912,-54.781486887513104,-91.04410761594497,-55.19933342712972,-91.49668090944182,-54.564389718355734,-91.24894160554716
1750161012.1861393,0,0,150,286,75,143,911,glass,416,-55.3067242090458,-90.28390911813722,-49.012425798111266,-55.180133163880114,-91.18607080391413,-54.82686139434861,-91.0582815602288,-55.19514661576014,-91.4758876962,-54.62991178450973,-91.27142490630348
1750161012.3097854,0,0,131,285,65,142,846,glass,416,-55.3067242090458,-90.28390911813722,-49.012425798111266,-55.18916545579644,-91.12170141908923,-54.89953293510583,-91.02546914027106,-55.19734270792523,-91.38747395119756,-54.73393067482024,-91.23350230508848
1750161013.3926058,116,163,174,218,145,190,487,glass,416,-55.30444638737627,-90.72244914113459,-89.99611917607528,-55.42714060709642,-91.19374005813519,-55.35019547624834,-91.2072955300738,-55.475490642639684,-91.33309401244456,-55.35237843328274,-91.35478276754635
1750161013.6254475,115,166,174,222,144,194,482,glass,416,-55.305445030806034,-90.73202365055121,-89.9848668517056,-55.42807916756544,-91.19816190096763,-55.35063017420746,-91.2119010336563,-55.47648675759695,-91.33594250618926,-55.35256836822419,-91.35792511849114
1750161013.7461045,116,162,174,218,145,190,493,glass,416,-55.305982086596124,-90.79769151026598,-90.52094369563063,-55.43455283947134,-91.27363117188823,-55.35678868208579,-91.288066560462,-55.484788688941734,-91.41424776208885,-55.36036603712486,-91.43734438380687
1750161013.868145,113,164,172,221,142,192,479,glass,416,-55.30975155715985,-90.83190543670226,-90.05979964333252,-55.434790798743926,-91.2942972489828,-55.3579191270467,-91.30847745141902,-55.48383332197374,-91.43088776230152,-55.36083864725817,-91.45357608619949
